ANO;PERIODO;REPRESENTANTE;CLIENTE;DATAFATURAMENTO;DATAVENCIMENTO;DATAPAGAMENTO;NOTA;SERIE;FATURA;TIPO;PARCELA;VALOR;VALID_COM;VALOR_COM_2;Processo da Comissao;Estorno Inadimplecia?
20;5;94035;11408;28/10/2019;25/04/2020;13/05/2020;1844385;1;27888101;RI;6;105,61;0,05;5,2805;Parcelas Pagas no Mês                                                 ; 
20;5;94035;11408;24/12/2019;22/04/2020;13/05/2020;1894139;1;31602401;RI;3;117,02;0,05;5,851;Parcelas Pagas no Mês                                                 ; 
20;5;94035;90725;15/02/2020;15/04/2020;25/05/2020;1939437;1;34318201;RI;1;1029,93;0,05;51,4965;Parcelas Pagas no Mês                                                 ; 
20;5;94035;90725;21/02/2020;21/04/2020;12/05/2020;1945754;1;34689201;RI;1;91,91;0,05;4,5955;Parcelas Pagas no Mês                                                 ; 
20;5;94035;90725;21/02/2020;21/05/2020;25/05/2020;1945754;1;34689201;RI;2;91,92;0,05;4,596;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93261;25/03/2020;24/05/2020;28/05/2020;1976062;1;36196201;RI;1;89;0,05;4,45;Parcelas Pagas no Mês                                                 ; 
20;5;94035;36790;24/12/2019;02/05/2020;05/05/2020;1894171;1;31604401;RI;3;71,2;0,05;3,56;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93239;27/02/2020;27/04/2020;04/05/2020;1951307;1;35054401;RI;2;178;0,05;8,9;Parcelas Pagas no Mês                                                 ; 
20;5;94035;97216;06/11/2019;04/05/2020;20/05/2020;1853480;1;28604501;RI;5;735,6;0,05;36,78;Parcelas Pagas no Mês                                                 ; 
20;5;94035;94001;07/10/2019;09/05/2020;11/05/2020;1826297;1;26539201;RI;6;703,69;0,05;35,1845;Parcelas Pagas no Mês                                                 ; 
20;5;94035;97475;24/12/2019;22/04/2020;04/05/2020;1893370;1;31564601;RI;4;65,86;0,05;3,293;Parcelas Pagas no Mês                                                 ; 
20;5;94035;94181;25/03/2020;25/05/2020;25/05/2020;1975796;1;36171601;RI;1;14,79;0,05;0,7395;Parcelas Pagas no Mês                                                 ; 
20;5;94035;85673;25/03/2020;24/05/2020;22/05/2020;1976089;1;36198901;RI;1;118,67;0,05;5,9335;Parcelas Pagas no Mês                                                 ; 
20;5;94035;98600;23/03/2020;22/05/2020;22/05/2020;1974667;1;36087401;RI;1;181,2;0,05;9,06;Parcelas Pagas no Mês                                                 ; 
20;5;94035;98600;30/07/2019;25/05/2020;26/05/2020;1765957;1;22410901;RI;8;874,5;0,05;43,725;Parcelas Pagas no Mês                                                 ; 
20;5;94035;90726;20/12/2019;18/04/2020;12/05/2020;1890628;1;31377401;RI;4;151,4;0,05;7,57;Parcelas Pagas no Mês                                                 ; 
20;5;94035;90726;06/11/2019;04/05/2020;20/05/2020;1854114;1;28642201;RI;5;394,28;0,05;19,714;Parcelas Pagas no Mês                                                 ; 
20;5;94035;90726;20/12/2019;18/05/2020;20/05/2020;1890628;1;31377401;RI;5;151,4;0,05;7,57;Parcelas Pagas no Mês                                                 ; 
20;5;90218;96813;29/01/2019;29/01/2020;;1633527;1;11463901;RI;2;-638,42;0,04;-25,5368;Desconto Inadimplencia                                                ; 
20;5;90218;96813;07/05/2020;;;1985957;1;581574;SO;;870,75;0,04;34,83;Apuração Faturamento                                                  ; 
20;5;90218;96813;15/05/2020;;;1989746;1;586008;SO;;1469,6;0,04;58,784;Apuração Faturamento                                                  ; 
20;5;90218;96813;02/12/2019;31/01/2020;;1874799;1;30255801;RI;1;-200,7;0,04;-8,028;Desconto Inadimplencia                                                ; 
20;5;90218;90641;25/09/2018;24/03/2019;08/05/2020;1548000;1;3875101;RI;6;17,19;0,04;0,6876;Parcelas Pagas no Mês                                                 ;SIM
20;5;90218;90641;27/09/2018;26/03/2019;08/05/2020;1549897;1;4017101;RI;6;204,97;0,04;8,1988;Parcelas Pagas no Mês                                                 ;SIM
20;5;90218;51388;26/10/2019;24/01/2020;;1844071;1;27857201;RI;1;-42,4;0,04;-1,696;Desconto Inadimplencia                                                ; 
20;5;90218;51388;30/03/2019;24/01/2020;;1671777;1;14937801;RI;8;-654,65;0,04;-26,186;Desconto Inadimplencia                                                ; 
